"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N"
"0500000US51115","Mathews County, Virginia","8533","197","8336","8004","7250","658","7","49","15","25","332","315","61","175","35","0","27","10","0","0","6","1","0","0","0","0","0","10","6","0","0","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51117","Mecklenburg County, Virginia","30319","821","29498","28616","17864","10364","73","205","0","110","882","838","389","209","54","0","89","55","5","2","28","0","0","0","1","6","0","40","21","0","5","5","5","0","1","0","0","0","0","2","0","0","1","0","0","0","0","0","4","0","0","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"0500000US51119","Middlesex County, Virginia","10625","259","10366","9951","8339","1519","24","26","3","40","415","385","122","162","31","0","43","19","2","0","0","0","0","0","2","4","0","26","14","0","5","0","4","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51121","Montgomery County, Virginia","99721","4651","95070","90760","77918","4054","126","8310","45","307","4310","4151","1014","1130","1270","16","566","32","55","7","35","0","0","0","19","7","0","145","69","27","0","4","22","0","0","6","7","0","2","0","0","0","8","0","0","0","0","0","7","3","0","2","2","0","0","0","0","0","0","0","0","0","0","0","7","4","3","0","0","0","0","0","0"
"0500000US51125","Nelson County, Virginia","14775","663","14112","13589","11879","1526","47","67","2","68","523","491","131","208","39","9","76","14","7","0","4","0","3","0","0","0","0","29","12","4","4","3","0","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51127","New Kent County, Virginia","22945","731","22214","21090","17818","2714","225","223","8","102","1124","1063","193","451","157","29","156","30","13","9","18","2","0","0","0","4","1","57","26","7","0","5","9","4","5","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51131","Northampton County, Virginia","12282","1068","11214","10864","6932","3756","58","80","8","30","350","314","133","52","46","3","52","22","4","0","0","0","0","2","0","0","0","25","21","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1","5","0","0","0","0","0","1","0","3","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"0500000US51133","Northumberland County, Virginia","11839","351","11488","11123","8310","2673","14","67","0","59","365","330","121","97","19","9","55","21","1","0","2","3","0","0","0","0","2","29","18","0","0","0","1","0","0","6","0","0","0","0","0","2","0","0","0","0","0","2","6","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51135","Nottoway County, Virginia","15642","773","14869","14414","8452","5773","50","64","3","72","455","425","158","159","36","0","24","32","8","0","3","0","0","0","5","0","0","27","13","0","3","0","2","3","0","0","0","0","4","0","0","0","0","0","0","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"0500000US51137","Orange County, Virginia","36254","2171","34083","32270","27389","4304","92","311","18","156","1813","1712","638","541","201","12","202","41","19","6","31","0","0","0","17","4","0","97","44","12","10","7","11","7","0","5","0","0","0","0","0","1","0","0","0","0","0","0","4","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
